nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient,      x-velocity,      y-velocity
     14835,-2.729192972E-01, 6.129546165E-01,-1.387581676E-01, 1.474912415E+02,-1.476682377E+01
     14836,-4.712771177E-01, 6.134955287E-01,-1.779042333E-01, 1.503997345E+02,-1.076117325E+01
     14837,-2.910823226E-01, 6.137155890E-01,-1.434736103E-01, 1.478294983E+02,-1.449507523E+01
     14838,-3.092274070E-01, 6.143669486E-01,-1.480054706E-01, 1.481564178E+02,-1.420306492E+01
     14839,-4.534328878E-01, 6.144748926E-01,-1.756610721E-01, 1.502215118E+02,-1.120602989E+01
     14840,-1.454008102E+00, 6.147628427E-01, 3.836925700E-02, 1.360636139E+02,-5.564827442E+00
     14841,-4.354979396E-01, 6.148899794E-01,-1.732391715E-01, 1.500307617E+02,-1.164081192E+01
     14842,-3.273725212E-01, 6.150183082E-01,-1.523065269E-01, 1.484691315E+02,-1.388912010E+01
     14843,-1.316905737E+00, 6.151771545E-01, 3.256459534E-02, 1.365232239E+02,-4.087825298E+00
     14844,-4.175496101E-01, 6.152538657E-01,-1.704606861E-01, 1.498166656E+02,-1.205867672E+01
     14845,-3.454513252E-01, 6.154291034E-01,-1.564106494E-01, 1.487691498E+02,-1.355842876E+01
     14846,-1.016988397E+00, 6.155363321E-01,-3.384050727E-02, 1.411857758E+02,-8.981583118E-01
     14847,-3.996012807E-01, 6.156177521E-01,-1.673278958E-01, 1.495796204E+02,-1.245788288E+01
     14848,-3.634800017E-01, 6.156739593E-01,-1.602840126E-01, 1.490543365E+02,-1.321000099E+01
     14849,-3.815633059E-01, 6.157255173E-01,-1.639390588E-01, 1.493256378E+02,-1.284251976E+01
     14850,-1.171474338E+00, 6.169287562E-01, 1.171939634E-02, 1.380222321E+02,-2.305793285E+00
     14851,-8.189513087E-01, 6.171953678E-01,-1.163435429E-01, 1.467301636E+02,-2.003382683E+00
     14852,-2.014701605E+00, 6.194206476E-01, 2.599684708E-02, 1.367907410E+02,-8.411127090E+00
     14853,-1.721725821E+00, 6.197122931E-01, 3.409869969E-02, 1.362777405E+02,-7.419109821E+00
     14854,-1.582985640E+00, 6.200580001E-01, 3.721233457E-02, 1.360992432E+02,-6.613483429E+00
     14855,-8.014089465E-01, 6.213514805E-01,-1.222331449E-01, 1.471148834E+02,-2.381058455E+00
     14856,-9.997367263E-01, 6.220586300E-01,-4.075486958E-02, 1.416575775E+02,-9.782420993E-01
     14857,-1.154073119E+00, 6.252447963E-01, 6.525069010E-03, 1.383862457E+02,-2.214279175E+00
     14858,-7.838666439E-01, 6.255075932E-01,-1.276662797E-01, 1.474674683E+02,-2.778330326E+00
     14859,-1.299680829E+00, 6.256140471E-01, 2.927963063E-02, 1.367582855E+02,-3.940830708E+00
     14860,-1.436714172E+00, 6.270931363E-01, 3.642580658E-02, 1.362065277E+02,-5.417821884E+00
     14861,-9.821473956E-01, 6.282455325E-01,-4.771677405E-02, 1.421311798E+02,-1.081642389E+00
     14862,-7.661380172E-01, 6.294133663E-01,-1.327628791E-01, 1.477958221E+02,-3.191405296E+00
     14863,-1.854011893E+00, 6.316848993E-01, 2.980891429E-02, 1.365505829E+02,-7.941988945E+00
     14864,-7.483044267E-01, 6.331703067E-01,-1.374593079E-01, 1.480955200E+02,-3.619173765E+00
     14865,-1.136538148E+00, 6.333933473E-01, 1.173955156E-03, 1.387604370E+02,-2.142311096E+00
     14866,-9.645084739E-01, 6.343805790E-01,-5.459390581E-02, 1.425973969E+02,-1.214888811E+00
     14867,-1.565712690E+00, 6.344184875E-01, 3.602435067E-02, 1.361890717E+02,-6.487248421E+00
     14868,-1.282400727E+00, 6.358754039E-01, 2.580588311E-02, 1.370057678E+02,-3.804796696E+00
     14869,-1.704584479E+00, 6.363225579E-01, 3.339129686E-02, 1.363331757E+02,-7.315031052E+00
     14870, 3.552713679E-15, 6.364821196E-01,-6.106437370E-02, 1.421728363E+02,-1.576268005E+01
     14871, 1.000000047E-03, 6.364821196E-01,-6.079978496E-02, 1.421569214E+02,-1.576122665E+01
     14872, 2.099999925E-03, 6.364821196E-01,-6.053560972E-02, 1.421393127E+02,-1.575919247E+01
     14873, 3.310000058E-03, 6.364821196E-01,-6.024922431E-02, 1.421200104E+02,-1.575683117E+01
     14874, 4.641000181E-03, 6.364821196E-01,-5.993457884E-02, 1.420988312E+02,-1.575415039E+01
     14875, 6.105099805E-03, 6.364821196E-01,-5.958908796E-02, 1.420755920E+02,-1.575111580E+01
     14876, 7.715609856E-03, 6.364821196E-01,-5.920968950E-02, 1.420501404E+02,-1.574768448E+01
     14877, 9.487170726E-03, 6.364821196E-01,-5.879367143E-02, 1.420222168E+02,-1.574379444E+01
     14878, 1.143588778E-02, 6.364821196E-01,-5.833757669E-02, 1.419915924E+02,-1.573938370E+01
     14879, 1.357947662E-02, 6.364821196E-01,-5.783794820E-02, 1.419580688E+02,-1.573437119E+01
     14880, 1.593742520E-02, 6.364821196E-01,-5.729090050E-02, 1.419213715E+02,-1.572864914E+01
     14881, 1.853116788E-02, 6.364821196E-01,-5.669151619E-02, 1.418811646E+02,-1.572210503E+01
     14882, 2.138428390E-02, 6.364821196E-01,-5.603500456E-02, 1.418371887E+02,-1.571462345E+01
     14883, 2.452271245E-02, 6.364821196E-01,-5.531663448E-02, 1.417891235E+02,-1.570606518E+01
     14884, 2.797498368E-02, 6.364821196E-01,-5.453176796E-02, 1.417366486E+02,-1.569626713E+01
     14885, 3.177248314E-02, 6.364821196E-01,-5.367497727E-02, 1.416793671E+02,-1.568503761E+01
     14886, 3.594972938E-02, 6.364821196E-01,-5.274032056E-02, 1.416169739E+02,-1.567215347E+01
     14887, 4.054470360E-02, 6.364821196E-01,-5.172154307E-02, 1.415489960E+02,-1.565734863E+01
     14888, 4.559917375E-02, 6.364821196E-01,-5.061256140E-02, 1.414751129E+02,-1.564031792E+01
     14889, 5.115909129E-02, 6.364821196E-01,-4.940682650E-02, 1.413948364E+02,-1.562071228E+01
     14890, 5.727500096E-02, 6.364821196E-01,-4.809768498E-02, 1.413078308E+02,-1.559811974E+01
     14891, 6.400249898E-02, 6.364821196E-01,-4.667890072E-02, 1.412136078E+02,-1.557207680E+01
     14892, 7.140275091E-02, 6.364821196E-01,-4.514374211E-02, 1.411118164E+02,-1.554204845E+01
     14893, 7.954302430E-02, 6.364821196E-01,-4.348571226E-02, 1.410020752E+02,-1.550744152E+01
     14894, 8.849732578E-02, 6.364821196E-01,-4.170013219E-02, 1.408840332E+02,-1.546758938E+01
     14895, 9.834706038E-02, 6.364821196E-01,-3.978444263E-02, 1.407575226E+02,-1.542171669E+01
     14896, 1.091817617E-01, 6.364821196E-01,-3.773508593E-02, 1.406224670E+02,-1.536897278E+01
     14897, 1.210999414E-01, 6.364821196E-01,-3.555116802E-02, 1.404788666E+02,-1.530842590E+01
     14898, 1.342099309E-01, 6.364821196E-01,-3.323401138E-02, 1.403269043E+02,-1.523906898E+01
