nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
       284,-8.488841186E-01, 1.206798593E-01, 0.000000000E+00, 0.000000000E+00
       285,-4.317021894E-01, 1.214362880E-01, 0.000000000E+00, 0.000000000E+00
       286,-8.391749451E-01, 1.231148872E-01, 0.000000000E+00, 0.000000000E+00
       287,-4.415680495E-01, 1.231280845E-01, 0.000000000E+00, 0.000000000E+00
       288,-4.514407372E-01, 1.247795660E-01, 0.000000000E+00, 0.000000000E+00
       289,-8.294657736E-01, 1.255499146E-01, 0.000000000E+00, 0.000000000E+00
       290,-4.613476006E-01, 1.262118464E-01, 0.000000000E+00, 0.000000000E+00
       291,-4.712544641E-01, 1.276441267E-01, 0.000000000E+00, 0.000000000E+00
       292,-8.196974789E-01, 1.277357278E-01, 0.000000000E+00, 0.000000000E+00
       293,-4.811613275E-01, 1.290764070E-01, 0.000000000E+00, 0.000000000E+00
       294,-8.098843805E-01, 1.297106906E-01, 0.000000000E+00, 0.000000000E+00
       295,-4.910681910E-01, 1.305086874E-01, 0.000000000E+00, 0.000000000E+00
       296,-8.000712825E-01, 1.316856533E-01, 0.000000000E+00, 0.000000000E+00
       297,-5.009790509E-01, 1.319130370E-01, 0.000000000E+00, 0.000000000E+00
       298,-5.109228588E-01, 1.330611024E-01, 0.000000000E+00, 0.000000000E+00
       299,-7.901874062E-01, 1.332687949E-01, 0.000000000E+00, 0.000000000E+00
       300,-5.208666668E-01, 1.342091678E-01, 0.000000000E+00, 0.000000000E+00
       301,-7.803030683E-01, 1.348490595E-01, 0.000000000E+00, 0.000000000E+00
       302,-5.308104747E-01, 1.353572332E-01, 0.000000000E+00, 0.000000000E+00
       303,-7.703938746E-01, 1.362651270E-01, 0.000000000E+00, 0.000000000E+00
       304,-5.407542827E-01, 1.365052986E-01, 0.000000000E+00, 0.000000000E+00
       305,-7.604604496E-01, 1.374998099E-01, 0.000000000E+00, 0.000000000E+00
       306,-5.507001970E-01, 1.376349589E-01, 0.000000000E+00, 0.000000000E+00
       307,-5.606696447E-01, 1.385335594E-01, 0.000000000E+00, 0.000000000E+00
       308,-7.505270248E-01, 1.387344929E-01, 0.000000000E+00, 0.000000000E+00
       309,-5.706390928E-01, 1.394321598E-01, 0.000000000E+00, 0.000000000E+00
       310,-7.405620423E-01, 1.396813183E-01, 0.000000000E+00, 0.000000000E+00
       311,-5.806176146E-01, 1.402236580E-01, 0.000000000E+00, 0.000000000E+00
       312,-7.305955376E-01, 1.406119922E-01, 0.000000000E+00, 0.000000000E+00
       313,-5.906023364E-01, 1.409326724E-01, 0.000000000E+00, 0.000000000E+00
       314,-7.206173181E-01, 1.414072921E-01, 0.000000000E+00, 0.000000000E+00
       315,-6.005879225E-01, 1.416293924E-01, 0.000000000E+00, 0.000000000E+00
       316,-7.106270721E-01, 1.420336813E-01, 0.000000000E+00, 0.000000000E+00
       317,-6.105853006E-01, 1.421291939E-01, 0.000000000E+00, 0.000000000E+00
       318,-6.205826793E-01, 1.426289955E-01, 0.000000000E+00, 0.000000000E+00
       319,-7.006368265E-01, 1.426600705E-01, 0.000000000E+00, 0.000000000E+00
       320,-6.906323667E-01, 1.429888900E-01, 0.000000000E+00, 0.000000000E+00
       321,-6.305859025E-01, 1.429935355E-01, 0.000000000E+00, 0.000000000E+00
       322,-6.405923586E-01, 1.432547006E-01, 0.000000000E+00, 0.000000000E+00
       323,-6.806272596E-01, 1.432974387E-01, 0.000000000E+00, 0.000000000E+00
